Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n/50V,100nF_0603,136.130100,-116.552400,90.000000,top
C2,100n/50V,100nF_0603,134.470100,-116.762400,90.000000,top
C3,100n/50V,100nF_0603,151.440100,-116.362400,90.000000,top
C4,100n/50V,100nF_0603,150.020100,-116.362400,90.000000,top
C5,1uF/6V3,1uF_0603,144.030100,-97.242400,90.000000,top
C6,100nF/50V,100nF_0603,153.640100,-95.192400,90.000000,top
C7,100nF/50V,100nF_0603,151.281850,-95.912400,0.000000,top
C8,4.7uF/35V,4_7uF_0603,148.080100,-100.632400,90.000000,top
C9,100nF/50V,100nF_0603,144.800100,-80.622400,90.000000,top
C10,100nF/50V,100nF_0603,159.380100,-72.002400,90.000000,top
C11,100n_50V,100nF_0603,127.300100,-77.022400,90.000000,top
C12,100n_50V,100nF_0603,133.500100,-84.982400,-90.000000,top
C13,100nF/50V,100nF_0603,129.630100,-78.512400,90.000000,top
D1,NSR0530H-D,NSR0530H-D_SOD323,145.020100,-103.072400,180.000000,top
D2,PESD2CAN,PESD2CAN.215,156.600100,-68.892400,180.000000,top
D3,SM712.TCT,SM712.TCT,134.120100,-69.012400,0.000000,top
D10,LED_KP-2012HD,LED_KP-2012HD_SM0805,134.030100,-89.742400,0.000000,top
D11,LED_KP-2012SGD,LED_KP-2012SGD_SM0805,134.030100,-92.332400,0.000000,top
D12,LED_KP-2012YD,LED_KP-2012YD_SM0805,134.030100,-94.822400,0.000000,top
F1,SN005-60,SN005-60,158.620100,-63.482400,90.000000,top
F2,SN005-60,SN005-60,155.680100,-63.482400,90.000000,top
F3,SN005-60,SN005-60,137.970100,-75.852400,-90.000000,top
F4,SN005-60,SN005-60,140.590100,-75.862400,-90.000000,top
L1,4u7H_CD32_SMD_Coil,4u7H_SMD_CD32,141.000100,-100.342400,-90.000000,top
NTC1,NTCS0603E3103FMT,NTCS0603E3103FMT,122.870100,-114.362400,0.000000,top
P1,OrangePi-2G-IOT LCD Interface,40pin_fpc_0_5mm,141.770100,-119.837400,180.000000,top
P2,CAN BUS,DG301-5.0-03P-12-00A(H),161.120100,-55.602400,180.000000,top
P3,TERM,Goldpin_2_2_54mm,157.530100,-78.592400,180.000000,top
P4,TERM,Goldpin_2_2_54mm,157.530100,-82.472400,0.000000,top
P8,BeagleBone_Black_Header,Socket_BeagleBone_Black,164.630100,-62.382400,0.000000,top
P9,BeagleBone_Black_Header,Socket_BeagleBone_Black,116.370100,-62.382400,0.000000,top
P12,RS485,DG301-5.0-03P-12-00A(H),125.090100,-53.832400,180.000000,top
R1,10k,10k_0603,131.220100,-116.642400,90.000000,top
R2,1k,1k_0603,131.220100,-113.772400,90.000000,top
R3,1k,1k_0603,135.960100,-113.772400,-90.000000,top
R4,1k,1k_0603,133.600100,-113.772400,-90.000000,top
R5,1k,1k_0603,128.830100,-113.772400,90.000000,top
R6,10R/1%/0.1Wat,10R_0603,146.610100,-100.632400,90.000000,top
R7,60.4R,60.4R_0805,158.360100,-75.042400,90.000000,top
R8,60.4R,60.4R_0805,160.230100,-75.052400,-90.000000,top
R9,CRCW120610R0FKEAHP,CRCW120610R0FKEAHP,132.800100,-74.083400,-90.000000,top
R10,CRCW120610R0FKEAHP,CRCW120610R0FKEAHP,135.340100,-74.083400,-90.000000,top
R11,4k7,4k7_0603,122.180100,-112.632400,0.000000,top
R12,4k7,4k7_0603,122.140100,-73.962400,180.000000,top
R13,100R,100R_0603,130.690100,-89.752400,0.000000,top
R14,100R,100R_0603,130.690100,-92.332400,0.000000,top
R15,100R,100R_0603,130.690100,-94.822400,0.000000,top
R16,4k7,4k7_0603,122.140100,-72.532400,180.000000,top
R17,4k7,4k7_0603,124.000100,-85.062400,0.000000,top
R18,4k7,4k7_0603,123.590100,-77.592400,180.000000,top
R19,4k7,4k7_0603,124.000100,-83.652400,0.000000,top
R20,0R,0R_0603,151.390100,-101.092400,0.000000,top
R21,0R,0R_0603,153.670100,-98.452400,90.000000,top
R22,0R,0R_0603,154.380100,-110.152400,0.000000,top
R28,4k7,4k7_0603,124.390100,-87.072400,-90.000000,top
R29,4k7,4k7_0603,122.270100,-91.762400,180.000000,top
R30,100R,100R_0603,122.270100,-87.772400,180.000000,top
R31,100R,100R_0603,122.270100,-90.302400,180.000000,top
Sw1,DTSM-31N,DTSM-31N_SMD,127.230100,-65.812400,90.000000,top
Sw2,DTSM-31N,DTSM-31N_SMD,123.140100,-65.812400,90.000000,top
Sw3,DTSM-31N,DTSM-31N_SMD,127.210100,-98.052400,-90.000000,top
Sw4,DTSM-31N,DTSM-31N_SMD,122.940100,-98.052400,-90.000000,top
U1,82357120100,82357120100,137.180100,-113.792400,-90.000000,top
U2,82357120100,82357120100,134.780100,-113.792400,-90.000000,top
U3,82357120100,82357120100,132.420100,-113.792400,-90.000000,top
U4,82357120100,82357120100,130.030100,-113.792400,-90.000000,top
U5,TCN75A,TCN75A_SOIC8,128.970100,-85.542400,-90.000000,top
U6,DS18B20U,DS18B20U_MSOP-8_3x3mm_P0.65mm,125.060100,-80.312400,0.000000,top
U7,TPS61169DCKR,TPS61169DCKR,144.671850,-100.362400,0.000000,top
U8,AP2127K-2.8TRG1,AP2127K-2.8TRG1_SOT23,151.251850,-98.382400,0.000000,top
U9,IFX1050GVIOXUMA1,IFX1050GVIOXUMA1,149.580100,-80.522400,-90.000000,top
U10,ISL3172EIUZ,ISL3172EIUZ,127.407600,-73.482400,0.000000,top
